food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber
Hot tea (Garam Chai),16.144298553466797,2.5819475650787354,0.3878859877586365,0.5320665240287781,2.576009511947632,0.0
Instant coffee,23.155832290649414,3.6533334255218506,0.640666663646698,0.746666669845581,3.615000009536743,0.0
Espreso coffee,51.543373107910156,6.620504856109619,1.7470030784606934,2.1381702423095703,6.533753871917725,0.0
Iced tea,10.342187881469727,2.7015624046325684,0.027968749403953552,0.010937499813735485,2.7015624046325684,0.0
Raw mango drink (Aam panna),35.91822052001953,9.047467231750488,0.15703445672988892,0.026340782642364502,7.490847110748291,0.6120251417160034
Fruit Punch (with fresh juices),36.116844177246094,9.38059139251709,0.13934893906116486,0.03250204399228096,9.245637893676758,0.06005493178963661
Fruit Punch (with squashes),23.12828254699707,5.989855766296387,0.0723448097705841,0.016838526353240013,5.883439064025879,0.16822615265846252
Lemonade,20.798982620239258,5.478568077087402,0.034817468374967575,0.010450966656208038,5.471953868865967,0.016864709556102753
Lem-o-gin,21.517364501953125,5.551969051361084,0.08075683563947678,0.028100909665226936,5.384456634521484,0.12919411063194275
Cumin infused water (Jeere/Zeere ka pani),9.08980655670166,1.8643821477890015,0.16951678693294525,0.1104905903339386,1.46160089969635,0.46353375911712646
Coco pine cooler,32.74876022338867,5.717686176300049,0.5550532341003418,0.9999814629554749,5.52344274520874,0.25724664330482483
Summer cooler,22.428831100463867,5.431630611419678,0.37390369176864624,0.03540007397532463,5.212235927581787,0.19671612977981567
Hot cocoa,90.0999984741211,9.234031677246094,3.3628273010253906,4.562827110290527,9.006282806396484,0.0
Cold coffee with ice cream,67.8487548828125,11.244776725769043,1.5701491832733154,2.109452724456787,11.180099487304688,0.007960199378430843
Banana milkshake (Kele milkshake),65.30644989013672,9.145586013793945,1.8432996273040771,2.371230125427246,7.956006050109863,0.2558610737323761
Mango milkshake (Aam milkshake),56.901123046875,7.231504917144775,1.7267510890960693,2.345879077911377,7.148523330688477,0.26441630721092224
Pineapple milkshake (Ananas milkshake),55.71769332885742,7.624691486358643,1.65925931930542,2.228806734085083,7.600000381469727,0.0
Orange milkshake (Narangi milkshake),57.41502380371094,7.10704231262207,1.8647887706756592,2.5239436626434326,7.078873157501221,0.0
Egg nog,97.14144897460938,8.145041465759277,4.776309490203857,5.11044454574585,8.061746597290039,0.019752884283661842
Sweet Lassi (Meethi lassi),35.66101837158203,6.508474826812744,1.2881355285644531,0.6779661178588867,6.508474826812744,0.0
Lassi (salted),18.844942092895508,1.856243371963501,1.3549379110336304,0.7186296582221985,1.8436976671218872,0.017926756292581558
Cheese and chilli sandwich ,218.1146697998047,27.40143394470215,6.795605182647705,9.780448913574219,2.3799102306365967,2.078744411468506
Egg sandwich (Ande ka sandwich),285.95709228515625,29.15723991394043,8.694679260253906,15.797734260559082,1.863645315170288,1.8776354789733887
Cucumber sandwich (Kheere ka sandwich),188.597900390625,25.76510238647461,4.798436164855957,7.997695446014404,1.6432921886444092,2.449218273162842
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.7143249511719,29.101882934570312,8.196501731872559,12.797489166259766,4.101883411407471,2.3298654556274414
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.31991577148438,26.92240333557129,7.9185404777526855,12.274420738220215,2.8468668460845947,1.9749356508255005
Chicken sandwich,253.27267456054688,25.377338409423828,13.124119758605957,11.748669624328613,1.5979398488998413,1.6358798742294312
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.4269104003906,28.544937133789062,9.528888702392578,16.13761329650879,2.816131591796875,4.029465198516846
